A,B,mean_A,mean_B,diff,se,T,df,pval,hedges
hybrid,on-site,0.4929938173862453,0.5885635086863236,-0.09556969130007825,0.03551706742237095,-2.690810312787318,83.81110690483153,0.023157612750384415,-0.4236123422396613
hybrid,online,0.4929938173862453,0.5898925624262591,-0.09689874504001378,0.04428116193598284,-2.1882611206115152,97.22182812605854,0.07825609214447016,-0.42941509302683684
on-site,online,0.5885635086863236,0.5898925624262591,-0.0013290537399355262,0.034575531348835946,-0.038439141441575314,67.45002593846326,0.9991857184548143,-0.006074181639432518
