A,B,mean_A,mean_B,diff,se,T,df,pval,hedges
afternoon,morning,0.5082642042379756,0.5292750341813801,-0.02101082994340453,0.03886667802058143,-0.540587233420836,106.57114658574734,0.8514845875416315,-0.09862096445010791
afternoon,night,0.5082642042379756,0.6056510003350443,-0.09738679609706868,0.034291538923603475,-2.8399657511443914,84.72499955290304,0.01543630424126674,-0.43396317026563214
morning,night,0.5292750341813801,0.6056510003350443,-0.07637596615366415,0.030425498403451438,-2.510261792293274,140.5809198127223,0.03502280442244343,-0.3409398115230192
